index,Drug_Name,Reason,Description,Side_Effects
196,Femcinol A Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Headache, Drowsiness, Rash"
197,Femcinol Adp Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Dry mouth, Nausea, Dizziness"
198,Femolink Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Vomiting, Dry mouth, Stomach pain"
199,Flexon Cream 15gm,Acne,Â treat acne vulgarisÂ ,"Rash, Fatigue, Nausea"
200,Foracne Plus Gel 15gm,Acne,Â treat acne vulgarisÂ ,"Dry mouth, Drowsiness, Vomiting"
201,ZIT 20mg Capsule 10'sZIT 10mg Capsule 10's,Acne,Â treat acne vulgarisÂ ,"Vomiting, Rash, Stomach pain"
202,Zitblow 20mg Capsule 10'SZitblow 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ ,"Fatigue, Drowsiness, Dizziness"
203,Zitclin Foam Wash Gel 100ml,Acne,Â treat mild to moderate acne(spots),"Dry mouth, Stomach pain, Rash"
204,Zyclin Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Rash, Diarrhea, Headache"
205,Addnok Tablet 20'S,Adhd,combined with anti-acne actives of both natural and synthetic origin,"Vomiting, Drowsiness, Fatigue"
206,Armod 150mg Tablet 10'SArmod 50mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp,"Fatigue, Rash, Dry mouth"
207,Atokem 25mg Tablet 10'SAtokem 10mg Tablet 10'SAtokem 18mg Tablet 10'S,Adhd,Mild to moderate acne (spots),"Dizziness, Diarrhea, Vomiting"
208,Atrest 12.5mg Tablet 10'SAtrest 25mg Tablet 10'S,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Vomiting, Stomach pain, Dry mouth"
209,Attentin 10mg Capsule 10'SAttentin 18mg Capsule 10'SAttentin 25mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Stomach pain, Diarrhea, Drowsiness"
210,Attentrol 10mg Capsule 10'SAttentrol 25mg Capsule 10'SAttentrol 40 mg Capsule 10'SAttentrol 18mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Vomiting, Stomach pain"
211,Attera 10mg Tablet 10'SAttera 18mg Tablet 10'SAttera 40mg Tablet 10'SAttera 25mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â ,"Drowsiness, Rash, Diarrhea"
212,Axepta 18mg Tablet 10'SAxepta 60mg Tablet 10'SAxepta 40mg Tablet 10'SAxepta 25mg Tablet 10'SAxepta 10mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â ,"Rash, Dry mouth, Headache"
213,Capnea Injection 1ml,Adhd,treat the most severe form of acne (nodular acne)Â ,"Drowsiness, Stomach pain, Nausea"
214,Modafil MD 100mg Tablet 10'SModafil MD 200mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ ,"Dizziness, Nausea, Headache"
215,Modalert 200mg Tablet 10'SModalert 100mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ ,"Headache, Stomach pain, Dry mouth"
216,Modapro 100mg Tablet 10'SModapro 200mg Tablet 10'S,Adhd,Â treat mild to moderate acne(spots),"Stomach pain, Nausea, Vomiting"
217,Modatec 100mg Tablet 10'SModatec 200mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp,"Diarrhea, Drowsiness, Nausea"
218,Provake 100mg Tablet 10'SProvake 200mg Tablet 10'S,Adhd,combined with anti-acne actives of both natural and synthetic origin,"Nausea, Vomiting, Headache"
219,Tomoxetin 18mg Capsule 10'S,Adhd,treatment of dry scaly skin disorders of the scalp,"Nausea, Fatigue, Dizziness"
220,Vitibex Lip Gel 20gm,Adhd,Mild to moderate acne (spots),"Diarrhea, Stomach pain, Nausea"
221,Waklert 150mg Tablet 5'SWaklert 150mg Tablet 10'SWaklert 250mg Tablet 5'SWaklert 50mg Tablet 10'SWaklert 100mg Tablet 10,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Headache, Fatigue, Diarrhea"
222,1 AL Plus Capsule 10'S1 AL 10mg Tablet 15'S1 AL 5mg Tablet 10'S1 AL Max Tablet 10'S1 AL Syrup 30ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Dry mouth, Nausea, Headache"
223,1 AL M 10/5mg Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Rash, Drowsiness, Headache"
224,ABICET M Tablet 10's,Allergies,treat the most severe form of acne (nodular acne)Â ,"Dry mouth, Dizziness, Stomach pain"
225,Acolate M Kid Syrup 60ml,Allergies,treat the most severe form of acne (nodular acne)Â ,"Headache, Nausea, Vomiting"
226,Adril Lotion 100ml,Allergies,treat the most severe form of acne (nodular acne)Â ,"Dizziness, Stomach pain, Nausea"
227,Afineday Tablet 10'S,Allergies,Â treat acne vulgarisÂ ,"Headache, Diarrhea, Nausea"
228,AIR 180mg Tablet 10'sAIR 120mg Tablet 10's,Allergies,Â treat acne vulgarisÂ ,"Drowsiness, Headache, Vomiting"
229,Airitis 5mg Tablet 10'SAiritis Syrup 30ml,Allergies,Â treat mild to moderate acne(spots),"Drowsiness, Dizziness, Stomach pain"
230,Airkast L Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp,"Vomiting, Rash, Nausea"
231,Airlung Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin,"Headache, Rash, Vomiting"
232,Airlung FX 10/120mg Tablet 10'S,Allergies,"Â gives smooth, soft, supple and fresh feeling to the skin","Drowsiness, Rash, Vomiting"
233,Airtek 10/5mg Tablet 10'S,Allergies,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Vomiting, Drowsiness, Dry mouth"
234,Akair LC 10/5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp,"Vomiting, Drowsiness, Dizziness"
235,Akuminic Syrup 60ml,Allergies,Mild to moderate acne (spots),"Vomiting, Rash, Diarrhea"
236,Alaspan 10mg Tablet 10'S,Allergies,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Stomach pain, Vomiting, Headache"
237,Alaspan AM Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Dry mouth, Vomiting, Nausea"
238,Alaspan Oral Solution 60ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Rash, Drowsiness"
239,Alastin 10mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â ,"Headache, Stomach pain, Vomiting"
240,Alcarex Eye Drops,Allergies,treat the most severe form of acne (nodular acne)Â ,"Drowsiness, Dry mouth, Nausea"
241,Alcet 5mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â ,"Nausea, Headache, Drowsiness"
242,Alcon Plus Tablet 10'S,Allergies,Â treat acne vulgarisÂ ,"Dizziness, Fatigue, Nausea"
243,Alday Duo 4/2.5mg Syrup 60ml,Allergies,Â treat acne vulgarisÂ ,"Nausea, Diarrhea, Fatigue"
244,ALDEX SR 6mg Tablet 10's,Allergies,Â treat mild to moderate acne(spots),"Dizziness, Drowsiness, Vomiting"
245,Aldine 5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp,"Rash, Nausea, Diarrhea"
246,Alecloz 180mg Tablet 10'SAlecloz 120mg Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin,"Diarrhea, Drowsiness, Vomiting"
247,Alenix 5mg Tablet 10'SAlenix 10mg Tablet 10'S,Allergies,Good for Allergic skin,"Drowsiness, Diarrhea, Rash"
248,Alerdain M Tablet 10'S,Allergies,Itching can be soothen,"Headache, Nausea, Vomiting"
249,Alerdain M Kid Tablet 10'S,Allergies,relief from itching,"Fatigue, Dry mouth, Headache"
250,Alerfex 120mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Nausea, Diarrhea, Drowsiness"
251,Alerfix 5mg Tablet 10'S,Allergies,skin care for allergy,"Dry mouth, Headache, Fatigue"
252,Alerfix M Tablet 15'S,Allergies,Good for Allergic skin,"Drowsiness, Diarrhea, Dizziness"
253,ALERFRI AF Drops 15ml,Allergies,Itching can be soothen,"Headache, Dizziness, Drowsiness"
254,Alergin Tablet 10'S,Allergies,relief from itching,"Fatigue, Headache, Dry mouth"
255,Alergin L Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Dry mouth, Rash, Stomach pain"
256,Alergin LX Syrup 30ml,Allergies,skin care for allergy,"Dry mouth, Nausea, Headache"
257,Alergin NF Syrup 30ml,Allergies,Â improve the appearance of fine lines,"Stomach pain, Diarrhea, Drowsiness"
258,Alergo 120mg Tablet 10'S,Allergies,relief from allergy,"Nausea, Rash, Headache"
259,Alerid 10mg Tablet 10'SAlerid Syrup 30mlAlerid Syrup 60ml,Allergies,releief from all type of allergies,"Stomach pain, Nausea, Dizziness"
260,Alerid D Tablet 10'S,Allergies,relief from allergy,"Diarrhea, Nausea, Stomach pain"
261,Aleriz Tablet 500'S,Allergies,soothens allergies and good for all types of skin,"Stomach pain, Dizziness, Fatigue"
262,Alermed 180mg Tablet 10'SAlermed Tablet 10'S,Allergies,skin care for allergy,"Dizziness, Drowsiness, Rash"
263,Alernex 120mg Tablet 10'S,Allergies,Good for Allergic skin,"Fatigue, Vomiting, Rash"
264,Alert 180mg Tablet 10'SAlert 120mg Tablet 10'S,Allergies,Itching can be soothen,"Rash, Headache, Stomach pain"
265,Alert L 5mg Tablet 10'S,Allergies,relief from itching,"Nausea, Drowsiness, Headache"
266,ALERTAC 10mg Tablet 10's,Allergies,soothens allergies and good for all types of skin,"Dizziness, Diarrhea, Drowsiness"
267,Alertriz 5mg Tablet 10'S,Allergies,skin care for allergy,"Fatigue, Vomiting, Drowsiness"
268,Alervo M Tablet 10'S,Allergies,Â improve the appearance of fine lines,"Nausea, Drowsiness, Diarrhea"
269,Alexo 120mg Tablet 10'S,Allergies,relief from allergy,"Nausea, Headache, Stomach pain"
270,Alexo M 10/120mg Tablet 10'S,Allergies,releief from all type of allergies,"Headache, Dry mouth, Diarrhea"
271,ALGO 10mg Tablet 10's,Allergies,relief from allergy,"Nausea, Fatigue, Diarrhea"
272,Algrot 120mg Tablet 10'SAlgrot 30mg Suspension 60ml,Allergies,soothens allergies and good for all types of skin,"Diarrhea, Dry mouth, Drowsiness"
273,Alides 5mg Tablet 10'S,Allergies,skin care for allergy,"Headache, Dizziness, Vomiting"
274,ALL 3 5mg Tablet 10'S,Allergies,Good for Allergic skin,"Dry mouth, Stomach pain, Rash"
275,ALLEFAST 120mg Tablet 10'sALLEFAST 180mg Tablet 10's,Allergies,Itching can be soothen,"Drowsiness, Dry mouth, Stomach pain"
276,Allegix 120mg Tablet 6'SAllegix 180mg Tablet 6'S,Allergies,relief from itching,"Nausea, Stomach pain, Rash"
277,Allegra 30mg Tablet 10'SAllegra Suspension 100ml,Allergies,soothens allergies and good for all types of skin,"Drowsiness, Rash, Fatigue"
278,Allegra 60mg Tablet 10'SAllegra 120mg Tablet 10'SALLEGRA Syrup 60mlAllegra 180mg Tablet 10'S,Allergies,skin care for allergy,"Vomiting, Dry mouth, Diarrhea"
279,Allegra M Tablet 10'S,Allergies,Â improve the appearance of fine lines,"Stomach pain, Fatigue, Drowsiness"
280,Allelin 10mg Tablet 10'S,Allergies,relief from allergy,"Fatigue, Vomiting, Rash"
281,Allercet Pedtabs Tablet 10'SAllercet L Tablet 10'SAllercet 5mg Tablet 10'SAllercet 10mg Tablet 10'S,Allergies,releief from all type of allergies,"Diarrhea, Headache, Drowsiness"
282,Allercet M Tablet 10'S,Allergies,relief from allergy,"Vomiting, Dry mouth, Headache"
283,Allercet M Kid Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Vomiting, Headache, Nausea"
284,Allercrom Eye Drops 10ml,Allergies,skin care for allergy,"Diarrhea, Dry mouth, Drowsiness"
285,Allercrom Forte Eye Drops 5ml,Allergies,Good for Allergic skin,"Nausea, Dry mouth, Diarrhea"
286,Allerde 5mg Tablet 10'S,Allergies,Itching can be soothen,"Stomach pain, Nausea, Dizziness"
287,Allerde M Tablet 10'S,Allergies,relief from itching,"Rash, Headache, Dry mouth"
288,Allerdest M Tablet 10'SAllerdest 5mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Fatigue, Headache, Rash"
289,Allerfex 120mg Tablet 10'SAllerfex 180mg Tablet 10'S,Allergies,skin care for allergy,"Vomiting, Fatigue, Dizziness"
290,Allerfex M Tablet 10'S,Allergies,Â improve the appearance of fine lines,"Dizziness, Drowsiness, Stomach pain"
291,Allergin 10mg Tablet 10'S,Allergies,relief from allergy,"Dizziness, Fatigue, Nausea"
292,Allerhin L Syrup 60ml,Allergies,releief from all type of allergies,"Nausea, Dizziness, Vomiting"
293,Allerkast 10/5mg Syrup 30mlAllerkast 10/5mg Tablet 10'S,Allergies,relief from allergy,"Drowsiness, Diarrhea, Stomach pain"
294,Allerkast LC 10/5mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Drowsiness, Diarrhea, Dry mouth"
295,Allerknot L Tablet 10's,Allergies,skin care for allergy,"Diarrhea, Rash, Headache"
296,Allermax Tablet 10'S,Allergies,Good for Allergic skin,"Vomiting, Dizziness, Headache"
297,Allermax Plus Tablet 10'S,Allergies,Itching can be soothen,"Headache, Drowsiness, Dry mouth"
298,Allerone 5mg Tablet 10'S,Allergies,relief from itching,"Drowsiness, Fatigue, Rash"
299,Allerzine 10mg Tablet 10'SAllerzine 5mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Rash, Stomach pain, Dizziness"
300,Allerzine L 5mg Tablet 10'S,Allergies,skin care for allergy,"Vomiting, Nausea, Rash"
301,Allrite 5mg Tablet 10'SAllrite Capsule 10'S,Allergies,Â improve the appearance of fine lines,"Drowsiness, Dry mouth, Headache"
302,ALLRITE M Tablet 10'S,Allergies,relief from allergy,"Diarrhea, Nausea, Drowsiness"
303,Allset Tablet 10'S,Allergies,releief from all type of allergies,"Diarrhea, Vomiting, Drowsiness"
304,Alocet Syrup 60mlAlocet 5mg Tablet 10'S,Allergies,relief from allergy,"Dry mouth, Rash, Headache"
305,Alocet M Tablet 10'SAlocet M Suspension 60ml,Allergies,soothens allergies and good for all types of skin,"Dry mouth, Diarrhea, Drowsiness"
306,Alocet XL Tablet 10'S,Allergies,skin care for allergy,"Dry mouth, Dizziness, Nausea"
307,Alovent 5mg Tablet 10'S,Allergies,Good for Allergic skin,"Rash, Diarrhea, Dry mouth"
308,Alsium Tablet 15'S,Allergies,Itching can be soothen,"Rash, Dry mouth, Headache"
309,ALT FM 10/120mg Tablet 10'S,Allergies,relief from itching,"Fatigue, Nausea, Dizziness"
310,Altiva 120mg Tablet 10'SAltiva 30mg Tablet 10'SAltiva 180mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Dry mouth, Drowsiness, Diarrhea"
311,Alvizine M Tablet 10'S,Allergies,skin care for allergy,"Dizziness, Headache, Fatigue"
312,Alzene 5mg Tablet 10'S,Allergies,Â improve the appearance of fine lines,"Stomach pain, Drowsiness, Diarrhea"
313,Alzero 5mg Tablet 10'S,Allergies,relief from allergy,"Dizziness, Fatigue, Drowsiness"
314,Alzero D Tablet 10'S,Allergies,releief from all type of allergies,"Dizziness, Headache, Fatigue"
315,Alzero M Syrup 60mlAlzero M 4/2.5mg Tablet 10'S,Allergies,relief from allergy,"Rash, Vomiting, Diarrhea"
316,Alzine Syrup 60ml,Allergies,treat Acne which often refer to as pimples or spots,"Dry mouth, Diarrhea, Stomach pain"
317,Amicet Tablet 10'S,Allergies,Good for Allergic skin,"Diarrhea, Dry mouth, Nausea"
318,Ancer LM Syrup 60mlAncer LM Tablet 10'S,Allergies,Itching can be soothen,"Headache, Diarrhea, Stomach pain"
319,Angelskin AC Lotion 100ml,Allergies,relief from itching,"Dry mouth, Vomiting, Headache"
320,Anticet 5mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Diarrhea, Drowsiness, Dry mouth"
321,ARGELLA Tablet 10's,Allergies,skin care for allergy,"Nausea, Stomach pain, Headache"
322,ARGELLA M Tablet 10's,Allergies,Â improve the appearance of fine lines,"Dizziness, Diarrhea, Dry mouth"
323,Arokast Fx Tablet 10's,Allergies,relief from allergy,"Stomach pain, Nausea, Vomiting"
324,Ascoril Flu Drops 15ml,Allergies,releief from all type of allergies,"Fatigue, Dry mouth, Rash"
325,Asthamon L Tablet 10'S,Allergies,relief from allergy,"Dry mouth, Stomach pain, Fatigue"
326,Avercet M Tablet 10's,Allergies,soothens allergies and good for all types of skin,"Dizziness, Dry mouth, Headache"
327,AVERZINE 25mg Tablet 15's,Allergies,skin care for allergy,"Headache, Rash, Dry mouth"
328,Avil 22.5mg Injection 10X2mlAvil 25mg Tablet 15'SAvil 25mg Injection 2mlAvil 25mg Expectorant 100mlAvil Injection 10X2mlAvil 22.7mg Injection 10mlAvil 50mg Tablet 15'S,Allergies,Good for Allergic skin,"Vomiting, Stomach pain, Diarrhea"
329,Avil NU Tablet 10'S,Allergies,Itching can be soothen,"Fatigue, Dry mouth, Diarrhea"
330,Avinorm Tablet 10'S,Allergies,relief from itching,"Vomiting, Fatigue, Stomach pain"
331,Awayke 10mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Drowsiness, Rash, Diarrhea"
332,Axaria 25mg Tablet 10'SAxaria 10mg Tablet 10'S,Allergies,skin care for allergy,"Dry mouth, Diarrhea, Rash"
333,Azfex M Tablet 10'S,Allergies,Â improve the appearance of fine lines,"Dry mouth, Diarrhea, Dizziness"
334,BELTAS 20mg Tablet 10's,Allergies,relief from allergy,"Vomiting, Fatigue, Drowsiness"
335,Benadryl Cough Formula Syrup 450ml,Allergies,releief from all type of allergies,"Fatigue, Dry mouth, Vomiting"
336,Benelix Syrup 60ml,Allergies,relief from allergy,"Dizziness, Nausea, Headache"
337,Bepomac 10mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,"Nausea, Drowsiness, Headache"
338,Bepozal Tablet 10's,Allergies,skin care for allergy,"Nausea, Dry mouth, Stomach pain"
339,Betawin LC 5mg Tablet 10'S,Allergies,Good for Allergic skin,"Fatigue, Nausea, Rash"
340,Betni 4mg Injection 1ml,Allergies,Itching can be soothen,"Vomiting, Nausea, Rash"
341,Betonix 10mg Tablet 10'S,Allergies,relief from itching,"Headache, Nausea, Drowsiness"
342,BILAGRA 20mg Tablet 10's,Allergies,soothens allergies and good for all types of skin,"Dry mouth, Drowsiness, Vomiting"
343,BILANAIR 20mg Tablet 10's,Allergies,skin care for allergy,"Dizziness, Diarrhea, Headache"
344,BILANIX Tablet 10's,Allergies,Â improve the appearance of fine lines,"Fatigue, Drowsiness, Headache"
345,BILANTA 20mg Tablet 10's,Allergies,relief from allergy,"Nausea, Dizziness, Headache"
346,BILASTERO 20mg Tablet 10's,Allergies,releief from all type of allergies,"Fatigue, Nausea, Stomach pain"
347,BILASURE 20mg Tablet 10's,Allergies,relief from allergy,"Stomach pain, Vomiting, Rash"
348,BILAZAP 20mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots,"Stomach pain, Headache, Nausea"
349,BILAZEST 20mg Tablet 10's,Allergies,Good for Allergic skin,"Fatigue, Vomiting, Dizziness"
350,BILAZO Tablet 10's,Allergies,Itching can be soothen,"Vomiting, Dizziness, Fatigue"
351,BILLARGIC 20mg Tablet 10's,Allergies,relief from itching,"Nausea, Drowsiness, Diarrhea"
